0,1,0.00,0.00,1640.83,922.97,1,-1,-1,-1
0,1,0.00,0.00,1640.83,922.97,1,-1,-1,-1
0,2,1507.68,486.90,133.15,436.07,1,-1,-1,-1
0,2,1507.68,486.90,133.15,436.07,1,-1,-1,-1
1,1,0.00,0.00,1640.83,922.97,1,-1,-1,-1
2,1,0.00,0.00,1640.83,922.97,1,-1,-1,-1
3,1,0.00,0.00,1640.83,922.97,1,-1,-1,-1
4,1,0.00,0.00,1640.83,922.97,1,-1,-1,-1
5,1,0.00,0.00,1640.83,922.97,1,-1,-1,-1
6,1,0.00,0.00,1640.83,922.97,1,-1,-1,-1
7,1,0.00,0.00,1640.83,922.97,1,-1,-1,-1
8,1,0.00,0.00,1640.83,922.97,1,-1,-1,-1
